fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Walk-in,99,115,49359.66,22705.45
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,WhatsApp Order,36,42,16943.76,7794.1
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,47,56,79481.91,24639.4
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Online,21,26,36437.47,11295.63
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Walk-in,155,183,263573.51,81707.79
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,38,43,61143.6,18954.55
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,46,56,162273.6,55173.03
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Online,23,34,100718.75,34244.39
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Walk-in,132,156,508444.82,172871.27
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,42,55,183148.62,62270.52
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Exhibition Stall,18,27,24607.17,10088.92
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Online,13,14,13147.73,5390.56
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Walk-in,57,64,66402.4,27225.02
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,WhatsApp Order,26,29,27544.24,11293.14
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Exhibition Stall,31,36,74426.22,28281.96
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Online,22,28,59842.98,22740.32
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Walk-in,127,154,359400.36,136572.08
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,WhatsApp Order,32,40,81263.68,30880.22
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,20,27,348730.2,83695.24
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Online,9,11,129599.53,31103.9
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Walk-in,55,70,941788.89,226029.35
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,20,22,295057.71,70813.83
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Accessories,Value,Exhibition Stall,18,26,9444.31,4344.38
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Accessories,Value,Online,10,12,6041.88,2779.25
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Accessories,Value,Walk-in,73,87,37665.6,17326.13
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Accessories,Value,WhatsApp Order,12,12,5802.14,2668.99
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Exhibition Stall,30,44,58257.87,18059.93
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Online,18,20,29692.99,9204.83
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Walk-in,94,114,173410.2,53757.18
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,WhatsApp Order,29,34,42421.03,13150.53
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Exhibition Stall,28,43,145993.33,49637.76
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Online,9,11,36779.23,12504.94
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Walk-in,89,97,309975.23,105391.56
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,WhatsApp Order,21,26,75924.44,25814.31
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Exhibition Stall,12,16,16147.42,6620.45
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Online,6,6,6327.51,2594.28
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Walk-in,57,69,70605.23,28948.13
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Kids Wear,Value,WhatsApp Order,18,20,18780.47,7699.97
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Readymade,Mid,Exhibition Stall,20,24,49255.03,18716.89
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Readymade,Mid,Online,10,11,18023.05,6848.75
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Readymade,Mid,Walk-in,78,91,204635.68,77761.54
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Readymade,Mid,WhatsApp Order,20,23,49191.72,18692.85
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Exhibition Stall,10,10,124432.8,29863.88
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Online,6,6,75467.99,18112.32
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Walk-in,37,50,612087.0,146900.9
FY2024-25,2025,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,WhatsApp Order,10,14,184400.68,44256.17
FY2024-25,2025,3,March,Lean,Cross Cut Road,Accessories,Value,Exhibition Stall,32,39,16085.6,7399.39
FY2024-25,2025,3,March,Lean,Cross Cut Road,Accessories,Value,Online,10,13,4802.51,2209.14
FY2024-25,2025,3,March,Lean,Cross Cut Road,Accessories,Value,Walk-in,126,151,60150.5,27669.17
FY2024-25,2025,3,March,Lean,Cross Cut Road,Accessories,Value,WhatsApp Order,27,33,14320.96,6587.61
FY2024-25,2025,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,54,66,89543.9,27758.61
FY2024-25,2025,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Online,19,23,34383.91,10659.02
FY2024-25,2025,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Walk-in,178,230,320081.9,99225.46
FY2024-25,2025,3,March,Lean,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,69,88,131220.84,40678.51
FY2024-25,2025,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,48,62,177815.26,60457.19
FY2024-25,2025,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Online,23,30,97006.7,32982.29
FY2024-25,2025,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Walk-in,136,176,602205.17,204749.8
FY2024-25,2025,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,37,45,133930.14,45536.25
FY2024-25,2025,3,March,Lean,Cross Cut Road,Kids Wear,Value,Exhibition Stall,29,35,32704.3,13408.75
FY2024-25,2025,3,March,Lean,Cross Cut Road,Kids Wear,Value,Online,10,10,10195.81,4180.29
FY2024-25,2025,3,March,Lean,Cross Cut Road,Kids Wear,Value,Walk-in,80,96,98734.15,40480.99
FY2024-25,2025,3,March,Lean,Cross Cut Road,Kids Wear,Value,WhatsApp Order,25,37,36740.0,15063.4
FY2024-25,2025,3,March,Lean,Cross Cut Road,Readymade,Mid,Exhibition Stall,46,58,114837.92,43638.44
FY2024-25,2025,3,March,Lean,Cross Cut Road,Readymade,Mid,Online,11,16,36457.03,13853.67
FY2024-25,2025,3,March,Lean,Cross Cut Road,Readymade,Mid,Walk-in,122,152,346980.08,131852.42
FY2024-25,2025,3,March,Lean,Cross Cut Road,Readymade,Mid,WhatsApp Order,32,38,82886.78,31496.97
FY2024-25,2025,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,17,20,241361.16,57926.68
FY2024-25,2025,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Online,14,19,226016.76,54244.02
FY2024-25,2025,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Walk-in,70,92,1118128.95,268350.91
FY2024-25,2025,3,March,Lean,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,15,20,273462.8,65631.07
FY2024-25,2025,3,March,Lean,RS Puram,Accessories,Value,Exhibition Stall,25,29,11816.74,5435.68
FY2024-25,2025,3,March,Lean,RS Puram,Accessories,Value,Online,10,11,4384.86,2017.04
FY2024-25,2025,3,March,Lean,RS Puram,Accessories,Value,Walk-in,70,91,39269.25,18063.83
FY2024-25,2025,3,March,Lean,RS Puram,Accessories,Value,WhatsApp Order,27,34,15762.27,7250.64
FY2024-25,2025,3,March,Lean,RS Puram,Cotton Saree,Value,Exhibition Stall,38,47,61747.44,19141.69
FY2024-25,2025,3,March,Lean,RS Puram,Cotton Saree,Value,Online,12,14,17921.61,5555.69
FY2024-25,2025,3,March,Lean,RS Puram,Cotton Saree,Value,Walk-in,124,153,227248.05,70446.89
FY2024-25,2025,3,March,Lean,RS Puram,Cotton Saree,Value,WhatsApp Order,35,45,61556.75,19082.6
FY2024-25,2025,3,March,Lean,RS Puram,Fancy Saree,Mid,Exhibition Stall,36,42,136913.4,46550.57
FY2024-25,2025,3,March,Lean,RS Puram,Fancy Saree,Mid,Online,16,20,57388.5,19512.1
FY2024-25,2025,3,March,Lean,RS Puram,Fancy Saree,Mid,Walk-in,97,122,384954.19,130884.46
FY2024-25,2025,3,March,Lean,RS Puram,Fancy Saree,Mid,WhatsApp Order,30,38,113177.97,38480.5
FY2024-25,2025,3,March,Lean,RS Puram,Kids Wear,Value,Exhibition Stall,18,27,21039.34,8626.13
FY2024-25,2025,3,March,Lean,RS Puram,Kids Wear,Value,Online,8,13,11836.5,4852.97
FY2024-25,2025,3,March,Lean,RS Puram,Kids Wear,Value,Walk-in,50,61,58831.75,24121.03
FY2024-25,2025,3,March,Lean,RS Puram,Kids Wear,Value,WhatsApp Order,21,24,22029.25,9032.0
FY2024-25,2025,3,March,Lean,RS Puram,Readymade,Mid,Exhibition Stall,29,33,62507.5,23752.86
FY2024-25,2025,3,March,Lean,RS Puram,Readymade,Mid,Online,11,12,29077.48,11049.45
FY2024-25,2025,3,March,Lean,RS Puram,Readymade,Mid,Walk-in,83,97,219156.93,83279.63
FY2024-25,2025,3,March,Lean,RS Puram,Readymade,Mid,WhatsApp Order,21,25,56982.55,21653.35
FY2024-25,2025,3,March,Lean,RS Puram,Silk Saree,Premium,Exhibition Stall,16,16,216942.37,52066.16
FY2024-25,2025,3,March,Lean,RS Puram,Silk Saree,Premium,Online,5,5,60225.93,14454.23
FY2024-25,2025,3,March,Lean,RS Puram,Silk Saree,Premium,Walk-in,35,38,482015.27,115683.65
FY2024-25,2025,3,March,Lean,RS Puram,Silk Saree,Premium,WhatsApp Order,18,23,321875.9,77250.2
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Accessories,Value,Exhibition Stall,46,54,19515.98,8977.35
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Accessories,Value,Online,12,16,7040.65,3238.71
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Accessories,Value,Walk-in,129,160,68368.42,31449.5
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Accessories,Value,WhatsApp Order,45,52,21993.97,10117.23
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,84,101,140745.87,43631.25
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Online,21,25,30606.42,9487.96
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Walk-in,205,249,365401.66,113274.57
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,65,87,122688.7,38033.5
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,75,91,266838.47,90725.04
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Online,31,37,117113.99,39818.75
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Walk-in,233,289,901301.47,306442.55
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,74,95,285801.23,97172.45
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Exhibition Stall,22,28,26935.42,11043.51
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Online,10,12,13044.93,5348.43
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Walk-in,70,84,85772.28,35166.63
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Kids Wear,Value,WhatsApp Order,33,35,36161.5,14826.18
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Readymade,Mid,Exhibition Stall,60,73,153865.87,58469.04
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Readymade,Mid,Online,23,28,61537.06,23384.08
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Readymade,Mid,Walk-in,137,160,358677.12,136297.27
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Readymade,Mid,WhatsApp Order,61,76,173999.89,66119.97
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,29,30,351455.5,84349.31
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Online,19,23,309733.54,74336.06
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Walk-in,91,109,1401260.59,336302.54
FY2025-26,2025,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,21,31,412635.68,99032.58
FY2025-26,2025,4,April,Wedding,RS Puram,Accessories,Value,Exhibition Stall,31,33,12500.71,5750.31
FY2025-26,2025,4,April,Wedding,RS Puram,Accessories,Value,Online,22,26,10857.61,4994.49
FY2025-26,2025,4,April,Wedding,RS Puram,Accessories,Value,Walk-in,93,118,46082.38,21197.82
FY2025-26,2025,4,April,Wedding,RS Puram,Accessories,Value,WhatsApp Order,27,30,11659.82,5363.51
FY2025-26,2025,4,April,Wedding,RS Puram,Cotton Saree,Value,Exhibition Stall,39,49,61862.86,19177.5
FY2025-26,2025,4,April,Wedding,RS Puram,Cotton Saree,Value,Online,21,26,40358.19,12511.03
FY2025-26,2025,4,April,Wedding,RS Puram,Cotton Saree,Value,Walk-in,158,182,263046.53,81544.49
FY2025-26,2025,4,April,Wedding,RS Puram,Cotton Saree,Value,WhatsApp Order,41,50,72790.76,22565.12
FY2025-26,2025,4,April,Wedding,RS Puram,Fancy Saree,Mid,Exhibition Stall,55,62,166007.84,56442.67
FY2025-26,2025,4,April,Wedding,RS Puram,Fancy Saree,Mid,Online,16,19,60188.72,20464.18
FY2025-26,2025,4,April,Wedding,RS Puram,Fancy Saree,Mid,Walk-in,153,168,529476.79,180022.13
FY2025-26,2025,4,April,Wedding,RS Puram,Fancy Saree,Mid,WhatsApp Order,47,55,171339.71,58255.5
FY2025-26,2025,4,April,Wedding,RS Puram,Kids Wear,Value,Exhibition Stall,25,27,26860.33,11012.72
FY2025-26,2025,4,April,Wedding,RS Puram,Kids Wear,Value,Online,7,9,7892.67,3235.98
FY2025-26,2025,4,April,Wedding,RS Puram,Kids Wear,Value,Walk-in,72,85,82693.93,33904.49
FY2025-26,2025,4,April,Wedding,RS Puram,Kids Wear,Value,WhatsApp Order,21,23,25428.09,10425.5
FY2025-26,2025,4,April,Wedding,RS Puram,Readymade,Mid,Exhibition Stall,48,59,127808.32,48567.18
FY2025-26,2025,4,April,Wedding,RS Puram,Readymade,Mid,Online,13,17,35127.23,13348.35
FY2025-26,2025,4,April,Wedding,RS Puram,Readymade,Mid,Walk-in,93,113,248442.49,94408.16
FY2025-26,2025,4,April,Wedding,RS Puram,Readymade,Mid,WhatsApp Order,32,38,93224.33,35425.27
FY2025-26,2025,4,April,Wedding,RS Puram,Silk Saree,Premium,Exhibition Stall,29,42,531797.84,127631.47
FY2025-26,2025,4,April,Wedding,RS Puram,Silk Saree,Premium,Online,11,14,170192.78,40846.25
FY2025-26,2025,4,April,Wedding,RS Puram,Silk Saree,Premium,Walk-in,52,65,827792.7,198670.24
FY2025-26,2025,4,April,Wedding,RS Puram,Silk Saree,Premium,WhatsApp Order,18,21,259659.24,62318.21
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Accessories,Value,Exhibition Stall,45,49,20126.73,9258.28
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Accessories,Value,Online,13,18,7312.41,3363.71
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Accessories,Value,Walk-in,128,161,68909.44,31698.32
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Accessories,Value,WhatsApp Order,56,62,27990.1,12875.47
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,68,76,97032.68,30080.14
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Online,32,39,54173.84,16793.92
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Walk-in,208,250,357580.71,110850.0
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,60,73,103556.57,32102.52
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,78,94,286820.47,97518.95
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Online,29,34,103817.62,35297.99
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Walk-in,226,281,923377.77,313948.53
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,76,95,313217.8,106494.03
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Exhibition Stall,25,28,27560.32,11299.74
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Online,11,12,12218.96,5009.76
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Walk-in,100,125,121964.28,50005.39
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Kids Wear,Value,WhatsApp Order,31,37,37334.71,15307.21
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Readymade,Mid,Exhibition Stall,44,54,120889.76,45938.15
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Readymade,Mid,Online,22,24,56761.09,21569.2
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Readymade,Mid,Walk-in,146,176,407427.3,154822.35
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Readymade,Mid,WhatsApp Order,44,55,123763.59,47030.15
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,26,30,363648.12,87275.55
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Online,13,18,205348.7,49283.68
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Walk-in,87,112,1427192.61,342526.26
FY2025-26,2025,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,27,31,413272.5,99185.38
FY2025-26,2025,5,May,Wedding,RS Puram,Accessories,Value,Exhibition Stall,29,33,14095.77,6484.04
FY2025-26,2025,5,May,Wedding,RS Puram,Accessories,Value,Online,9,9,4145.82,1907.08
FY2025-26,2025,5,May,Wedding,RS Puram,Accessories,Value,Walk-in,78,106,44173.98,20320.03
FY2025-26,2025,5,May,Wedding,RS Puram,Accessories,Value,WhatsApp Order,31,42,16844.82,7748.61
FY2025-26,2025,5,May,Wedding,RS Puram,Cotton Saree,Value,Exhibition Stall,50,57,83097.58,25760.27
FY2025-26,2025,5,May,Wedding,RS Puram,Cotton Saree,Value,Online,13,13,17199.4,5331.81
FY2025-26,2025,5,May,Wedding,RS Puram,Cotton Saree,Value,Walk-in,123,154,222099.31,68850.76
FY2025-26,2025,5,May,Wedding,RS Puram,Cotton Saree,Value,WhatsApp Order,50,59,87290.82,27060.17
FY2025-26,2025,5,May,Wedding,RS Puram,Fancy Saree,Mid,Exhibition Stall,59,75,245971.74,83630.38
FY2025-26,2025,5,May,Wedding,RS Puram,Fancy Saree,Mid,Online,23,26,84976.9,28892.15
FY2025-26,2025,5,May,Wedding,RS Puram,Fancy Saree,Mid,Walk-in,150,181,609063.34,207081.55
FY2025-26,2025,5,May,Wedding,RS Puram,Fancy Saree,Mid,WhatsApp Order,43,54,174931.27,59476.62
FY2025-26,2025,5,May,Wedding,RS Puram,Kids Wear,Value,Exhibition Stall,20,27,27531.14,11287.76
FY2025-26,2025,5,May,Wedding,RS Puram,Kids Wear,Value,Online,10,14,14446.11,5922.9
FY2025-26,2025,5,May,Wedding,RS Puram,Kids Wear,Value,Walk-in,71,85,81725.13,33507.34
FY2025-26,2025,5,May,Wedding,RS Puram,Kids Wear,Value,WhatsApp Order,22,22,21686.31,8891.4
FY2025-26,2025,5,May,Wedding,RS Puram,Readymade,Mid,Exhibition Stall,38,44,100790.25,38300.3
FY2025-26,2025,5,May,Wedding,RS Puram,Readymade,Mid,Online,19,22,51717.28,19652.56
FY2025-26,2025,5,May,Wedding,RS Puram,Readymade,Mid,Walk-in,102,110,239539.84,91025.14
FY2025-26,2025,5,May,Wedding,RS Puram,Readymade,Mid,WhatsApp Order,33,40,94841.91,36039.88
FY2025-26,2025,5,May,Wedding,RS Puram,Silk Saree,Premium,Exhibition Stall,19,22,249926.5,59982.36
FY2025-26,2025,5,May,Wedding,RS Puram,Silk Saree,Premium,Online,9,14,156193.43,37486.43
FY2025-26,2025,5,May,Wedding,RS Puram,Silk Saree,Premium,Walk-in,67,78,949895.02,227974.8
FY2025-26,2025,5,May,Wedding,RS Puram,Silk Saree,Premium,WhatsApp Order,16,17,225538.28,54129.2
FY2025-26,2025,6,June,Lean,Cross Cut Road,Accessories,Value,Exhibition Stall,37,49,21010.09,9664.63
FY2025-26,2025,6,June,Lean,Cross Cut Road,Accessories,Value,Online,23,28,11104.82,5108.22
FY2025-26,2025,6,June,Lean,Cross Cut Road,Accessories,Value,Walk-in,93,110,44689.91,20557.36
FY2025-26,2025,6,June,Lean,Cross Cut Road,Accessories,Value,WhatsApp Order,31,37,14904.6,6856.12
FY2025-26,2025,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,63,78,102234.01,31692.54
FY2025-26,2025,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Online,21,27,38972.13,12081.36
FY2025-26,2025,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Walk-in,138,162,237319.82,73569.14
FY2025-26,2025,6,June,Lean,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,53,65,96628.44,29954.85
FY2025-26,2025,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,46,55,161230.32,54818.3
FY2025-26,2025,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Online,21,28,94763.02,32219.43
FY2025-26,2025,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Walk-in,120,145,463981.83,157753.85
FY2025-26,2025,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,51,61,187676.56,63810.03
FY2025-26,2025,6,June,Lean,Cross Cut Road,Kids Wear,Value,Exhibition Stall,23,25,21334.21,8747.04
FY2025-26,2025,6,June,Lean,Cross Cut Road,Kids Wear,Value,Online,9,9,9790.15,4013.95
FY2025-26,2025,6,June,Lean,Cross Cut Road,Kids Wear,Value,Walk-in,58,76,76414.16,31329.84
FY2025-26,2025,6,June,Lean,Cross Cut Road,Kids Wear,Value,WhatsApp Order,17,18,18227.33,7473.18
FY2025-26,2025,6,June,Lean,Cross Cut Road,Readymade,Mid,Exhibition Stall,37,52,113020.15,42947.68
FY2025-26,2025,6,June,Lean,Cross Cut Road,Readymade,Mid,Online,15,15,33735.76,12819.57
FY2025-26,2025,6,June,Lean,Cross Cut Road,Readymade,Mid,Walk-in,137,156,355921.3,135250.12
FY2025-26,2025,6,June,Lean,Cross Cut Road,Readymade,Mid,WhatsApp Order,38,46,92374.01,35102.14
FY2025-26,2025,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,15,18,253983.56,60956.06
FY2025-26,2025,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Online,4,4,42566.67,10216.0
FY2025-26,2025,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Walk-in,42,48,634890.01,152373.61
FY2025-26,2025,6,June,Lean,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,10,12,144806.03,34753.45
FY2025-26,2025,6,June,Lean,RS Puram,Accessories,Value,Exhibition Stall,25,27,10911.2,5019.18
FY2025-26,2025,6,June,Lean,RS Puram,Accessories,Value,Online,9,10,4491.5,2066.09
FY2025-26,2025,6,June,Lean,RS Puram,Accessories,Value,Walk-in,58,71,30094.94,13843.66
FY2025-26,2025,6,June,Lean,RS Puram,Accessories,Value,WhatsApp Order,22,26,11490.72,5285.74
FY2025-26,2025,6,June,Lean,RS Puram,Cotton Saree,Value,Exhibition Stall,33,39,50065.04,15520.16
FY2025-26,2025,6,June,Lean,RS Puram,Cotton Saree,Value,Online,15,17,25697.8,7966.32
FY2025-26,2025,6,June,Lean,RS Puram,Cotton Saree,Value,Walk-in,112,131,183699.34,56946.78
FY2025-26,2025,6,June,Lean,RS Puram,Cotton Saree,Value,WhatsApp Order,30,41,62459.2,19362.37
FY2025-26,2025,6,June,Lean,RS Puram,Fancy Saree,Mid,Exhibition Stall,34,39,116439.9,39589.55
FY2025-26,2025,6,June,Lean,RS Puram,Fancy Saree,Mid,Online,16,21,64325.25,21870.58
FY2025-26,2025,6,June,Lean,RS Puram,Fancy Saree,Mid,Walk-in,104,136,432458.03,147035.65
FY2025-26,2025,6,June,Lean,RS Puram,Fancy Saree,Mid,WhatsApp Order,23,29,92582.25,31477.96
FY2025-26,2025,6,June,Lean,RS Puram,Kids Wear,Value,Exhibition Stall,16,20,19502.06,7995.85
FY2025-26,2025,6,June,Lean,RS Puram,Kids Wear,Value,Online,7,7,6162.11,2526.47
FY2025-26,2025,6,June,Lean,RS Puram,Kids Wear,Value,Walk-in,39,46,44930.23,18421.38
FY2025-26,2025,6,June,Lean,RS Puram,Kids Wear,Value,WhatsApp Order,17,21,20525.28,8415.36
FY2025-26,2025,6,June,Lean,RS Puram,Readymade,Mid,Exhibition Stall,18,20,37812.92,14368.89
FY2025-26,2025,6,June,Lean,RS Puram,Readymade,Mid,Online,11,13,33231.1,12627.82
FY2025-26,2025,6,June,Lean,RS Puram,Readymade,Mid,Walk-in,75,97,233351.84,88673.67
FY2025-26,2025,6,June,Lean,RS Puram,Readymade,Mid,WhatsApp Order,26,35,75862.34,28827.72
FY2025-26,2025,6,June,Lean,RS Puram,Silk Saree,Premium,Exhibition Stall,23,28,327968.42,78712.42
FY2025-26,2025,6,June,Lean,RS Puram,Silk Saree,Premium,Online,5,7,70540.99,16929.83
FY2025-26,2025,6,June,Lean,RS Puram,Silk Saree,Premium,Walk-in,48,59,694937.8,166785.08
FY2025-26,2025,6,June,Lean,RS Puram,Silk Saree,Premium,WhatsApp Order,5,6,76504.81,18361.16
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Accessories,Value,Exhibition Stall,21,23,7815.99,3595.34
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Accessories,Value,Online,12,16,6028.98,2773.31
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Accessories,Value,Walk-in,64,80,32471.5,14936.89
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Accessories,Value,WhatsApp Order,21,24,10015.22,4606.99
